en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	
low-income country		LIC																страна с низким доходом		СНД															
low-inflation country																		страна с низкими темпами инфляции																	
lump sum payment		lump sum																единовременный платеж																	
lumpiness																		концентрация		неделимый характер															
Lyon terms	[debt restructuring]	Lyons terms																лионские условия																	
macro fund																		макрофонд																	
macrocritical financial and structural reforms																		критически важные для макроэкономического развития финансовые и структурные реформы																	
macro-critical issue																		вопрос, имеющий существенное значение для макроэкономики																	
macrocritical structural reforms																		структурные реформы, важные с макроэкономической точки зрения																	
macro-criticality																		значимость для макроэкономического развития																	
Macroeconomic and Financial Management Institute of Eastern		and Southern Africa		MEFMI		Macroeconomic and Financial Management Institute												Институт макроэкономического и финансового управления для стран Восточной и Южной Африки																	
macroeconomic balance approach																		метод макроэкономического равновесия		метод макроэкономического баланса															
macroeconomic balance exchange rate		MBER																обменный курс в условиях макроэкономического равновесия																	
Macroeconomic Imbalance Procedure		MIP																Процедура для устранения макроэкономических дисбалансов																	
macroeconomic management																		макроэкономическое управление																	
Macroeconomic Studies Division	[RES/MT]																	Отдел макроэкономических исследований																	
macro-financial analysis																		макрофинансовый анализ																	
macro-financial linkage		macrofinancial linkages																макрофинансовые связи		связь между макроэкономикой и финансовым сектором															
macrofinancial stability																		макрофинансовая стабильность																	
macroprudential authority																		орган макропруденциального регулирования																	
macroprudential indicator		MPI																макропруденциальный индикатор		пруденциальный макроэкономический показатель		МПИ													
macroprudential policy																		макропруденциальная политика																	
macroprudential regulation																		макропруденциальное регулирование																	
macroprudential toolkit																		набор макропруденциальных инструментов																	
macroprudential tools																		макропруденциальные инструменты																	
Mail Center	[IMF-SEC]																	Почтово-экспедиционный центр																	
Mainland China		China: The Mainland		China, P.R.: Mainland														материковый Китай		материковая часть Китайской Народной Республики															
mainstreaming																		интеграция		нормализация															
maintenance call	[stock exchange]	margin call																требование (брокера) о внесении дополнительного покрытия																	
maintenance of value obligation	[IMF]																	обязательство о поддержании стоимости																	
maintenance of value	[IMF]																	поддержание стоимости																	
major borrowers																		основные заемщики																	
major classifications	[BPM5]																	основные классификации																	
major industrial countries																		ведущие промышленно развитые страны																	
major oil exporters																		основные экспортеры нефти																	
majority action clause	[debt]																	положение о действиях с санкции большинства																	
majority creditor	[London Club]																	мажоритарный кредитор																	
majority enforcement provision																		положение об обеспечении выполнения решений		большинства															
majority ownership	[corporations]	majority interest		majority control		controlling interest												владение контрольным пакетом акций		мажоритарный контроль															
majority restructuring provision																		положение о реструктуризации по решению большинства																	
maladjustment																		несбалансированность																	
Malthusian trap																		мальтузианская ловушка																	
managed float		dirty float																регулируемый плавающий курс		регулируемый плавающий курс															
managed floating with no predetermined path for the exchange rate	[IMF exchange rate classification system, 2006]																	регулируемый плавающий курс без предварительно объявляемой траектории валютного курса																	
managed rate		managed exchange rate																регулируемый курс																	
managed trade																		регулируемая торговля																	
Management Development Center	[IMF-HRD]	MDC																Центр повышения квалификации руководящих сотрудников																	
Management Development Section	[HRD/SD/MD]																	Секция по подготовке и повышению квалификации управленческого персонала																	
management fee	[securities]																	комиссионные за управление																	
Management Implementation Plan		MIP																план руководства по выполнению рекомендаций																	
Management Information Section	[IMF-OBP/BS/IS]																	Секция управленческой информации																	
management letter	[IMF]																	письмо (с рекомендациями) руководству																	
Management	[IMF]																	руководство		управление															
managing director	[IBRD]																	директор-распорядитель		управляющий директор															
Managing Director	[IMF-OMD]	MD																Директор-распорядитель																	
Managing Director, Acting	[IMF-OMD]																	исполняющий обязанности Директора-распорядителя																	
Managing Director, Temporary Acting	[IMF-OMD]																	временно исполняющий обязанности Директора-распорядителя																	
mandatory plan																		обязательный план																	
mandatory prepayment clause	[London Club]																	оговорка об обязательных досрочных платежах																	
mandatory repurchase	[IMF]																	обязательный выкуп																	
man-day		staff-day		person-day														человеко-день																	
man-hour		staff-hour																человеко-час																	
manufactured goods		manufactures																продукция обрабатывающей промышленности																	
manufacturing industry		manufacturing sector		manufacturing														обрабатывающая промышленность																	
man-year		staff-year		person-year														человеко-год																	
margin account																		гарантийный счет																	
margin financing																		финансирование при помощи гарантийного счета/депозита																	
margin interest																		онкольная процентная ставка		брокерская ссудная ставка															
margin requirement																		обязательный первоначальный взнос																	
marginal borrower																		маргинальный заемщик																	
marginal cost																		предельные издержки		маргинальные издержки															
marginal cost pricing																		установление цен на основе предельных издержек		ценообразование на основе маргинальных издержек															
marginal lending facility	[Eurosystem]																	механизм сверхкраткосрочных кредитов																	
marginal propensity to consume																		предельная склонность потреблению	[импорту, сбережению и т.д.]																
marginal propensity to save																		предельная склонность к сбережению	[потреблению, импорту и т.д.]																
marginal rate of tax	[taxation]																	предельная ставка																	
marginal reserve requirement		MRR																предельная норма обязательных резервов																	
marginal revenue product of capital		MRPK		marginal revenue product														предельный доход от капитала																	
marked-to-model																		стоимостная оценка на основе модели																	
market access overall trade restrictiveness index		MA-OTRI																доступ на рынок - общий индекс ограничения торговли																	
market borrowers																		страны-заемщики на рынке коммерческих кредитов																	
market breadth																		широта (финансового) рынка		разнообразие (финансового) рынка															
market capitalization	[enterprises]	market cap		MCAP														рыночная стоимость капитала (компании)																	
market clearing price		clearing price																равновесная цена		цена равновесия		рыночная равновесная цена													
market clearing		market clearance																рыночное равновесие																	
market concentration																		концентрация рынка																	
market disruption																		дезорганизация рынка		распад рынка															
market economy		market-oriented economy																рыночная экономика																	
market efficiency																		эффективность рынка																	
market establishment	[GFSM 2001]																	рыночное заведение																	
market failure																		неэффективность рыночного механизма		неэффективность рынка	[СНС]														
market financing																		рыночное финансирование																	
market fragmentation																		фрагментация рынка																	
market glut																		перенасыщение рынка																	
market gold sales																		продажи золота на рынке																	
market integrity																		целостность рынков																	
market maker																		"маркет-мейкер"																	
market neutrality																		нейтральность по отношению к рынку																	
market power																		влияние на рынок																	
market price equivalent																		эквивалент рыночной цены																	
market rate																		рыночная ставка																	
market SDR																		рыночные СДР																	
market segmentation																		сегментация рынка																	
market sentiment																		настроения рынка		настроения участников рынка															
market share																		доля рынка																	
market sharing arrangement																		договоренность о разделе рынка																	
market size																		масштабы рынка																	
market stress																		напряженность рыночной конъюнктуры																	
market terms		commercial terms		hard terms		conventional terms		conventional market terms										рыночные условия		коммерческие условия															
market volatility																		волатильность на рынках																	
market yield																		рыночная доходность																	
marketable good																		реализуемый на рынке товар																	
market-based approach																		рыночный подход																	
market-based debt reduction																		сокращение долга рыночными методами																	
market-friendly policy		market-oriented policy																политика, благоприятствующая развитию рынка		политика, ориентированная на рынок															
marketing board																		совет по закупкам		совет по маркетингу		совет по закупкам и сбыту													
marketing facilities		marketing channels																механизмы маркетинга																	
market-led growth																		экономический рост, обеспечиваемый рынком		рост, обусловливаемый рынком															
market-related terms	[lending]																	ссуда, предоставляемая на рыночных условиях																	
market-sensitive information		market-sensitive data																информация, которая может повлиять на поведение рынка																	
mark-to-market loss																		убыток, рассчитанный на основе рыночной стоимости																	
mark-to-market		mark a position to market		mark to the market		MTM												переоценить (стоимость) на основе текущих рыночных цен																	
markup		mark-up	[SNA93]															надбавка		маржа		наценка													
massive open online courses		MOOCs																массовые открытые дистанционные курсы		МОДК															
master file																		основной файл																	
matching grant	[public finance]																	пропорциональный грант																	
matrix management		multiple channel management																матричная структура управления																	
mature market																		развитый рынок																	
mature stabilizer																		страны, обеспечивающие макроэкономическую стабильность																	
mature technology																		развитая технология		отработанная технология															
mature	[finance]																	наступать (о сроке погашения)																	
maturity date		maturity																срок погашения																	
maturity distribution	[Debt Guide, 1993; External Debt Statistics: Guide for Compilers and Users, 1993]	maturity breakdown		maturity profile	[Debt Guide, 1993; External Debt Statistics: Guide for Compilers and Users, 1993]	maturity structure	[Debt Guide, 1993; External Debt Statistics: Guide for Compilers and Users, 1993]	repayment profile										структура сроков погашения		структура (кредита) по срокам погашения		графика погашения													
maturity extension program		MEP																программа увеличения среднего срока погашения																	
maturity mismatch		maturity gap																несовпадение по срокам погашения																	
maturity period	[Paris Club]																	период погашения																	
maturity transformation																		преобразование сроков погашения																	
maximum access entitlement	[IMF]																	право на получение максимального доступа (к ресурсам МВФ)																	
MDG Africa Steering Group	[UN]																	Руководящая группа по вопросу достижения в Африке Целей развития Декларации тысячелетия		Руководящая группа по вопросу достижения ЦРТ в Африке															
MDRI-I Trust																		Трастовый фонд МДРИ-I																	
MDRI-II Trust																		Трастовый фонд МДРИ-II																	
mean deviation																		среднее отклонение																	
means of payment																		средство платежа																	
means-tested assistance																		помощь, обусловленная проверкой нуждаемости																	
Media Relations Division	[COM/MR]																	Отдел по связям со средствами массовой информации																	
median	[statistics]																	медиана																	
Medical Benefits Plan	[IMF]	MBP																программа медицинского страхования																	
medium of exchange																		средство обмена																	
Medium Term Development Framework		MTDF																среднесрочная программа развития																	
medium-term budgetary framework		MTBF																среднесрочная бюджетная программа		ССБП		среднесрочные параметры бюджета													
medium-term expenditure framework		MTEF																параметры расходов на среднесрочную перспективу		среднесрочная финансовая программа															
medium-term financing facility																		механизм среднесрочного финансирования																	
medium-term instrument	[IMF]																	среднесрочный инструмент																	
medium-term interest rate		medium-term rate																среднесрочная ставка		среднесрочная процентная ставка															
medium-term loan																		среднесрочная ссуда																	
medium-term strategy		MTS																среднесрочная стратегия		ССС															
member country	[IMF]	member	[IMF]															государство-член																	
Membership Engagement Division	[IMF-SEC]																	Отдел по взаимодействию с государствами-членами																	
membership resolution	[IMF]																	резолюция о принятии в члены МВФ																	
membership	[IMF]																	членство		государства-члены															
memorandum account																		справочный счет		внебалансовый счет															
memorandum entry		memorandum item																справочная статья																	
memorandum of understanding	[IMF]	MOU																меморандум о договоренности																	
Memorandum on Economic and Financial Policies	[IMF]	MEFP																Меморандум об экономической и финансовой политике		МЭФП															
menu approach	[debt]																	многовариантный подход																	
menu item	[debt]																	допустимый вариант																	
merchanting		commodities arbitrage																перепродажа товаров за границей																	
mergers and acquisitions	[enterprises]																	слияния и приобретения		операции по слиянию и приобретению		слияния и поглощения													
merit good																		общественно полезное благо		общественно полезный товар															
merit increase																		прибавка (за успешную работу)																	
metadata	[EBBS; BPM6]																	метаданные																	
method of instrumental variables																		метод инструментальных переменных																	
Methodology for Assessing Compliance with Anti-Money Laundering and Combating the Financing of Terrorism Standard																		Методология оценки соблюдения стандартов борьбы с отмыванием денег и финансированием терроризма																	
metropolitan currency	[AA]																	валюта страны-метрополии																	
Mexico/Latin Caribbean Division	[WHD/ML]																	Отдел Мексики и латиноамериканских государств Карибского бассейна																	
microfinance institution		MFI																компании по микрофинансированию		учреждения микрофинансирования															
microprudential regulation																		микропруденциальное регулирование																	
microstates																		микрогосударства																	
Middle East																		Ближний Восток																	
Middle East and Central Asia Department	[IMF]	MCD																Департамент стран Ближнего Востока и Центральной Азии		БЦД															
Middle East and Central Asia Economic Outlook																		Перспективы экономического развития Ближнего Востока и Центральной Азии																	
Middle East and North Africa Financial Action Task Force		MENAFATF																Целевая группа по финансовым мерам для стран Ближнего Востока и Северной Африки																	
Middle East and North Africa region		MENA region		MENA countries		MENA												регион Ближнего Востока и Северной Африки		регион БВСА		страны БВСА		БВСА											
Middle East Technical Assistance Center	[IMF]	METAC																Центр по технической помощи на Ближнем Востоке		МЕТАК															
Middle East, North Africa, Afghanistan, and Pakistan region		MENAP																Регион Ближнего Востока, Северной Африки, Афганистана и Пакистана		Ближний Восток, Северная Африка, Афганистан и Пакистан		БВСАП													
Middle Eastern Division	[ICD/MS]																	Отдел стран Ближнего Востока																	
Middle Eastern oil exporters																		ближневосточные страны-экспортеры нефти																	
middle rate		midpoint rate	[BPM5]															средний курс		срединный курс															
middle-income countries	[World Bank]	MIC countries		MICs														страны со средними доходами																	
middle-income country under stress		MICUS																страна со средними доходами, находящаяся в тяжелом финансовом положении																	
middle-income trap																		"ловушка" среднего уровня дохода																	
mid-point		midpoint																срединная точка																	
midterm review	[IMF programs]																	среднесрочный обзор																	
midyear review	[IMF]																	среднегодовой обзор																	
migrants' remittances	[SNA93]																	перечисления мигрантов		перечисления денежных средств мигрантами															
migrants' transfers	[BPM5]																	трансферты, связанные с миграцией		переводы денежных средств мигрантами															
Millenium Challenge Corporation	[USA]	MCC																корпорация "Вызов тысячелетия"																	
Millennium Development Goals		MDG																Цели в области развития, поставленные в Декларации тысячелетия		ЦРТ		Цели (в области) развития Декларации тысячелетия													
mineral exporters																		страны-экспортеры минерального сырья																	
mineral rights																		права на разработку недр																	
minimum acceptable bid		stop-out price		cut-off price														минимальная приемлемая цена покупателя																	
minimum bid rate	[Eurosystem]	main refinancing rate																основная ставка рефинансирования																	
minimum living wage																		заработная плата, обеспечивающая прожиточный минимум																	
minimum wage in industry																		минимальный уровень заработной платы в промышленности																	
mining																		горнодобывающая промышленность																	
mining and mineral resources, manufacturing, and construction	[GFSY]																	горнодобывающая промышленность и минеральные ресурсы, обрабатывающая промышленность и строительство																	
minority creditor																		миноритарный кредитор																	
misalignment																		несбалансированность (валютных курсов)																	
misallocation of resources																		нерациональное распределение ресурсов																	
misreporting	[IMF]																	представление недостоверной информации																	
mission chief	[IMF]	mission head		head of mission		chief of mission												руководитель миссии		глава миссии															
mission report	[IMF]																	доклад миссии		доклад о работе миссии															
MMFs		money market funds																ФДР		фонды денежного рынка															
modal tariff	[customs]																	преобладающий тариф																	
mode	[statistics]																	мода																	
Modern Portfolio Theory		MPT		portfolio theory														теория инвестиционного портфеля																	
modified accrual accounting																		учет по модифицированному методу начисления																	
momentum trader		positive feedback trader																инерционный трейдер		трейдер, следующий за рыночной конъюнктурой															
monetary aggregate anchor	[IMF monetary policy framework classification system, 2006]																	якорь денежно-кредитных агрегатов																	
monetary aggregate		M1, M2																денежно-кредитный агрегат		М1, М2															
Monetary and Capital Markets Department		MCM																Департамент денежно-кредитных систем и рынков капитала		ДДК															
Monetary and Exchange Regimes Division	[MCM/ME]																	Отдел по вопросам денежно-кредитных и валютных режимов																	
Monetary and Financial Statistics Manual		MFSM																Руководство по денежно-кредитной и финансовой статистике		РДФС															
Monetary and Macroprudential Policies Division	[MCM/MP]	MP																Отдел денежно-кредитной и макропруденциальной политики																	
monetary asset																		денежный актив																	
monetary authorities																		органы денежно-кредитного регулирования		денежно-кредитные органы															
monetary authorities subsector																		подсектор органов денежно-кредитного регулирования																	
monetary board																		валютно-финансовый совет																	
monetary conditions index		MCI																индекс денежно-кредитных условий																	
monetary control																		денежно-кредитный контроль																	
monetary dominance																		подчинение бюджетной политики денежно-кредитным соображениям																	
monetary easing		easing of monetary policy																смягчение денежно-кредитной политики																	
monetary economics																		монетарная экономика		монетарная экономическая теория															
monetary economy		monetized economy																экономика с развитой денежно-кредитной сферой		монетизированная экономика															
monetary erosion																		сокращение денежной массы (в результате инфляции)																	
monetary flow																		движение денежной массы		денежный поток															
monetary gold																		монетарное золото																	
monetary gold stock																		запасы монетарного золота																	
monetary management																		денежно-кредитное регулирование																	
monetary policy																		денежно-кредитная политика																	
monetary policy framework																		основа денежно-кредитной политики																	
monetary policy normalization																		нормализация денежно-кредитной политики																	
monetary policy stance		monetary stance																курс денежно-кредитной политики																	
monetary standard		money standard																стандарт																	
monetary support																		монетарная поддержка																	
monetary survey	[IFS]																	денежно-кредитный обзор																	
monetary target		money supply target																целевой денежно-кредитный показатель		целевой показатель денежной массы															
monetary targeting strategy		intermediate monetary targeting		monetary targeting														стратегия, основанная на целевых денежно-кредитных показателях		установление (промежуточных) целевых денежно-кредитных показателей		денежно-кредитное таргетирование		денежно-кредитное таргетирование											
monetary tightening		tight monetary policy		tightening		monetary restraint		monetary stringency		tight money		tight money policy						денежно-кредитное ограничение		жесткость денежно-кредитной политики		ужесточение денежно-кредитной политики		ограниченный кредит		"дорогие деньги"		политика ограниченного кредита							
monetary transmission		transmission of monetary policy impulses																передача воздействия денежно-кредитной политики																	
monetary union																		валютный союз		валютный союз															
monetization																		монетизация																	
monetization of government debt		monetization of the deficit																монетизация государственного долга		монетизация дефицита															
monetization of the economy																		монетизация (экономики)		развитие денежно-кредитной сферы															
money																		деньги																	
money and banking statistics	[IMF]																	денежно-кредитная и банковская статистика		денежно-банковская статистика															
money center bank																		банк, активно оперирующий на денежном рынке																	
money creation																		денежная эмиссия		создание денежной массы															
money destruction																		изъятие денег из обращения																	
money illusion																		"денежная иллюзия"																	
money income		nominal income																номинальный доход																	
money laundering reporting officer	[money laundering]	MLRO																сотрудник, ответственный за уведомление об операциях по отмыванию денег																	
money laundering		ML																отмывание денег		легализация преступных доходов															
money market mutual fund		MMMF		money market fund		MMF												взаимный фонд денежного рынка																	
money market	[FSIG]																	денежный рынок																	
money multiplier																		денежный мультипликатор																	
money rate	[interest]																	ставка денежного рынка																	
money supply	[SNA93]	supply of money		M		money stock		stock of money										денежная масса		предложение денег															
money wage		nominal wage																номинальная заработная плата																	
moneyness																		"денежность"		наличие денежных свойств		денежный характер													
monitoring system	[IMF]	monitoring process																система мониторинга		процесс мониторинга															
monoline insurer																		узкоспециализированная страховая компания		узкоспециализированный страховщик															
monopolistic competition		imperfect competition																несовершенная конкуренция																	
monopoly power																		монопольная власть																	
monopoly rent																		монопольная рента																	
monopsony																		монопсония																	
Monterrey Consensus																		Монтеррейский консенсус																	
moonlighting																		работа по совместительству																	
moral hazard																		моральный риск		риск злоупотреблений															
moral suasion		suasion		jawboning		window guidance		WG										моральное убеждение		моральное воздействие															
moratory interest	[Paris Club]	moratorium interest																процент по мораторию		процентная ставка по просроченным платежам															
mortality																		смертность																	
mortgage																		ипотека		ипотечный кредит															
mortgage bank		mortgage credit institution		mortgage company														ипотечный банк		организация ипотечного кредита															
mortgage redemption																		выкуп (закладной)																	
mortgage servicer																		организация, обслуживающая ипотеку																	
mortgage servicing rights		MSR																права на обслуживание ипотеки																	
mortgage-backed security	[Debt Guide, 1993; External Debt Statistics: Guide for Compilers and Users, 1993]	MBS																ценные бумаги, обеспеченные ипотекой																	
most favored nation clause	[Paris Club]	MFN clause																оговорка о предоставлении статуса наибольшего благоприятствования																	
most immediately impacted countries	[IBRD]	MIICs		MIIs														страны, непосредственно затронутые кризисом в Персидском заливе																	
most seriously affected countries	[UN]	MSAs																страны, в наибольшей степени затронутые кризисом		наиболее затронутые страны															
most	[IMF]																	большинство																	
most-favored-nation treatment, general																		общий режим наибольшего благоприятствования																	
moving average																		скользящее среднее (значение)																	
moving peg	[exchange rates]																	подвижная привязка																	
multicountry balance of payments summation																		обзор платежного баланса по нескольким странам																	
multicurrency loan																		мультивалютный кредит																	
multicurrency peg		multicurrency pegging																привязка (курса) к нескольким валютам		мультивалютная привязка															
multi-currency reserve system																		мультивалютная резервная система																	
multilateral aid																		помощь на многосторонней основе																	
multilateral consultation																		многосторонние консультации																	
multilateral consultation on global imbalances																		многосторонние консультации по глобальным дисбалансам																	
multilateral credit line																		многосторонняя кредитная линия																	
multilateral creditor																		многосторонний кредитор																	
multilateral currency union																		многосторонний валютный союз																	
Multilateral Debt Relief Initiative		MDRI																Инициатива по облегчению бремени задолженности на многосторонней основе		МДРИ															
multilateral development bank		MDB																многосторонний банк развития																	
Multilateral Exchange Rate Model	[IMF]	MERM																модель многостороннего обменного курса		ММОК															
Multilateral Guarantee Fund	[EC]																	Многосторонний гарантийный фонд																	
multilateral institution																		многосторонняя организация																	
Multilateral Investment Fund	[IDB]	MIF																Многосторонний инвестиционный фонд		МИФ															
Multilateral Investment Guarantee Agency	[World Bank Group]	MIGA																Многостороннее агентство по инвестиционным гарантиям		МИГА															
multilateral surveillance																		надзор на многосторонней основе																	
multilateral system of payments																		многосторонняя платежная система																	
multilateral trade agreement	[WTO]	MTA		multilateral agreement	[WTO]													многостороннее соглашение		многостороннее торговое соглашение															
multilateral trade liberalization																		многосторонняя либерализация торговли																	
multilateral trade negotiations		MTN																многосторонние торговые переговоры		МТП															
Multilateral Trade Organization		MTO																многосторонняя торговая организация																	
multilateral trading system																		система многосторонней торговли																	
multilateralization																		перевод на многостороннюю основу																	
multinational enterprise		transnational enterprise																многонациональное предприятие		транснациональное предприятие															
multinational trade negotiations																		международные торговые переговоры																	
